Comments,Profine_words,No_words_per_comment,No_filtered_words,Is_profine,Avg_profine_per_comment,Avg_profine_per_filter_comment,No_profane_words
Dont they have those x ray machines,,7,3,0,0,0.0,0
Poor lady They need to be trained better,,8,5,0,0,0.0,0
If this were a black woman and the TSA were white the media would have run this story as a racial issue,,22,9,0,0,0.0,0
Theres no such thing as an appropriate pat down you pat down known criminals not private citizens abolish TSA,,19,10,0,0,0.0,0
Those TSA officers were WAY out of line How dare they do that to her,,15,6,0,0,0.0,0
I didnt even notice it was a wig until she stated it was lol,,14,6,0,0,0.0,0
TSA be taking water bottles and lotion but cant spot a bomb if it was right in front of them,,20,8,0,0,0.0,0
Ports are really easily contaminated though that would scare me Anything could infect it Her fears were legitimate,,18,9,0,0,0.0,0
I had TSA at LAX have me raise my shirt to prove the mass was excess skin after bariatric surgery It was humiliating for me having to do this in front of everyone,,33,14,0,0,0.0,0
I know its not much but your hair looks very natural and beautiful,,13,4,0,0,0.0,0
TSA is security theater,,4,3,0,0,0.0,0
every time im travelling through the states by myself they are always incredibly rude because i guess im a young girl and they dont think they are required to have any manners and i know they dont have to necessarily be friendly but every time ive travelled with a man or older family members i am treated a lot better i hate TSA it gives me anxiety every time now,,70,27,0,0,0.0,0
Welcome to LAND OF FREEwhat a joke,,7,5,0,0,0.0,0
Oh come ON WHY was this woman violated IN PUBLIC She should have gotten a private screening room and her pat down should have been done with RESPECT Im sick of hearing about these TSA agents violating people and disrespecting people,,41,22,0,0,0.0,0
After public humiliation then provide private areawtf These TSAs have no special training fallacy,,14,11,0,0,0.0,0
They could have killed her,,5,2,0,0,0.0,0
So a port is not like a temporary mouth same with stomas and such It is an open wound that is intentionally kept open for easy access for administration for medications so they dont have to stick you all the time Thankfully I havent been stopped for carrying my medications with me and I hope my next flight doesnt go like this,,62,27,0,0,0.0,0
Ms Albert I have a port on my chest area that you can not touch or put pressure on TSA agent so Im going to have to touch you and put any type of pressure BUT with the back of my hands ,,43,18,0,0,0.0,0
My grandma works at TSA and she is a great employee amazing But she is most likely the only one Everybody is very lazy and has just downright terrible work ethic So the way some agents work are just how people are This is just an example that not all TSA agents are as shitty as this one,,58,23,0,0,0.0,0
WTF I feel so sorry for this lady and at the same time I am pissed by the TSA agent They dont even react like human Horrific behaviour They should be fired forever,,33,18,0,0,0.0,0
TSA hire these people to intentionally do those sick things to make every person uncomfortable to make people feel that they r controlled and that they can touch u when ever they want  This country is run by sick insane humans,,42,18,0,0,0.0,0
Omg no one ever gets to touch my intravenous access you trying to give me sepsis,,16,5,0,0,0.0,0
Did you know that there is no record of TSA stoping any terrorist attacks,,14,6,0,0,0.0,0
Ya know LAX needs to just reLAX,,7,3,0,0,0.0,0
That port could get infected and kill her Seriously This is bananas,,12,7,0,0,0.0,0
A SHAME Side note She was gorgeous with her short hair,,11,8,0,0,0.0,0
the TSA is a fraud anyways,,6,2,0,0,0.0,0
An apology isnt enough in such cases They should have been punished for sure You cant go about doing whatever If you are a professional then you need to know the rules Not knowing the rules of your work isnt an excuse,,42,17,0,0,0.0,0
How to be a jerk  Become a TSA Agent and refuse accepting someone has cancer and touch their cancer spot,jerk,21,12,1,0.047619047619047616,0.08333333333333333,1
Tsa is a joke Did you know theyve failed every single federal test conducted,test,14,9,1,0.07142857142857142,0.1111111111111111,1
The say aliens from SPACE probe humans but in reality TSA probes you in USA,,15,9,0,0,0.0,0
To be honest Im not surprisedThey have history of doing stupid stuff,,12,7,0,0,0.0,0
Remember kids ITS NOT GAY IF ITS THE TSA,,9,9,0,0,0.0,0
Gosh I feel so bad for her,,7,4,0,0,0.0,0
Meanwhile as the TSA wasted its time with this woman who was clearly not a terrorist a dozen real potential terrorists walk by unnoticed PC run amok,,27,15,0,0,0.0,0
Off with their jobs,,4,2,0,0,0.0,0
This was horrible  no regards for this ladys health  I understand the protocols but there has to be a better way for people to check people while keeping the plane safe ,,34,17,0,0,0.0,0
To be honest I dont feel bad for her TSAs gotta do what they gotta do to let you pass and make sure you dont have any scissors to stab someone in the eye,,34,14,0,0,0.0,0
That is a great wig tho Good quality,,8,6,0,0,0.0,0
Omg This is awful,,4,3,0,0,0.0,0
the LAX is literally the worst airport at first i thought LaGuardia airport in NY was bad but jesus,,19,10,0,0,0.0,0
Woooooowreally They did her dirtynot okay Bless this woman,,9,5,0,0,0.0,0
I have a port and I always get patted down at the airport They never touch my port after Ive told them its there they just look So these TSA agents dont have any excuse,,35,15,0,0,0.0,0
TSA more like the stupid agency,,6,3,0,0,0.0,0
What I dont understand is right you never see issues like this happen in Canada uk or Europe yet this constantly happens in the USA honestly I hoped they lost their jobs because thats very unprofessional and I bet traumatic,,40,20,0,0,0.0,0
I feel bad for her having cancer but I dont feel bad about the situation,,15,9,0,0,0.0,0
Fuck tsa,,2,2,0,0,0.0,0
No offence but I thank God I do not live in America It is understandable about the searches and the security risk however there is a difference between security and humiliation,,31,15,0,0,0.0,0
Yes This is why I have not flown since 911 When Congress votes in bills that they dont even read this happens The DHS and TSA are an extraconstitutional layer of government I would rather go through an airline hijacking and die than submit myself for body searches all the time and wreck the 4th and 5th amendments You cant touch me there or anywhere without a search warrant from a judge,,72,35,0,0,0.0,0
You lost me at I paid a lot of money for it,,12,6,0,0,0.0,0
Man yall wanna fly Move the hell on,,8,6,0,0,0.0,0
TSA Touching Sexual Areas I feel like this was the acronym these workers were taught,,15,9,0,0,0.0,0
My mom had breast cancer aswell as a port for treatment you cant even give them tight hugs while theyre recieving treatment because theyll get bruises This is a real issue and Im happy to see that people are covering it,,41,21,0,0,0.0,0
Okay well we are given the powers of god now so we are going to do anything we want to do to you and if you give us a problem we will make sure you miss your flight,,38,8,0,0,0.0,0
I have a port in me you cannot touch me there *_Well that is part of a procedure and_*,,19,6,0,0,0.0,0
O Jesus man always something with people ,,8,5,0,0,0.0,0
Guard didnt use the back of the hand,,8,3,0,0,0.0,0
Theres no proof this procedure really help prevent terrorists They got to figure something smarter that prevent people from feeling humiliated,,21,13,0,0,0.0,0
Agents were doing there job thanks for ur service TSA,,10,5,0,0,0.0,0
TSA are like doctors Person it hurts really bad here TSA and doctors *puts more pressure on it*,,18,10,0,0,0.0,0
Remember thisany of those reading this who think Socialist policies and Beurocracy will be administered by the smartest most caring and fair individuals,,23,12,0,0,0.0,0
Can I just say how gorgeous her wig is,,9,4,0,0,0.0,0
Ive had a port Id have flashed the whole place so they could see I had nothing Its dangerous to touch it 1 Infection 2 Displacement can cause port failure clots They threatened her life,,35,19,0,0,0.0,0
I was bald from chemo and wearing athin ribbon on my head Rude TSA demanded I take The Ribbon off so they could examine it,,25,14,0,0,0.0,0
that must be a really expensive high quality wig bc i didnt even know until she said something about it,,20,6,0,0,0.0,0
After all these years they now say they need to train the TSA better OMG If you dont consent you dont consentno means no,,24,11,0,0,0.0,0
I wouldnt be comfortable with strangers touching areas anyway Please do not reply saying THEY HAVE TO OMG ITS IMPORTANT I was just saying,,24,14,0,0,0.0,0
Its like she said I have a port you cant touch me there and they heard blah blah blah,,19,9,0,0,0.0,0
Imagine having to snatch your own wig for TSA,,9,4,0,0,0.0,0
This is heartbreaking because this could be anyone and so many people travel with medical conditions and if this is the way TSA is treating them  then theres bigger problems at store ,,34,13,0,0,0.0,0
I also had a horrible experience at lax Tsa took so long i almost missed my flight They took their sweet precious time Smh,,24,13,0,0,0.0,0
So messed up poor woman,,5,4,0,0,0.0,0
I think its bullshit all these different instances of incidents keep happening the TSA keeps apologizing and nothing really changes,,20,8,0,0,0.0,0
So sad and sick Bless you for enduring,,8,5,0,0,0.0,0
I work in quality Retraining equals nothing,,7,5,0,0,0.0,0
WTH THEY R SOOO DUMB they need only do x Ray Dont pat down she has that sickness its not allowed to touch them there and they ALSO SIAD WITH PRESSURE And she CAN DIE They r idoits,,38,20,0,0,0.0,0
TSA officers honestly need to be retrained worldwide I almost always get padded down and theyre usually rude and aggressive about it,,22,9,0,0,0.0,0
It was her RIGHT to have Privacy This is a Medical Condition which should have been treated with sensitivity and Empathy There should be Exceptions for Private Areas for people like thisI do not have these conditions and I would have been outraged too I hope she sues and wins,,50,22,0,0,0.0,0
America is so paranoid of anything and everything even to your own citizens Tax payers who you abused and the one providing your salaries the evil things you did to the countries you bullied comes back to you,,38,12,0,0,0.0,0
Luckily on all four flights I was on the TSA Agents in America international flights where always considerate and at least not downright rude or demanding,,26,12,0,0,0.0,0
Ik this is uncalled for but Whats a port,,9,4,0,0,0.0,0
they had how many years  yeah right like cops in usa  beat you up and ask questions later,beat,20,8,1,0.05,0.125,1
You look beautiful great wig looks so real,,8,5,0,0,0.0,0
I can not believe this why would people do that,,10,2,0,0,0.0,0
I had a similar situation in LAX I had recently dislocated my right shoulder and I was wearing a sling A mesh sling that was so thin that you could even see a piece of paper sitting in the sling against my arm They demanded that I take my arm out of the sling I told them that if I took my arm out of the sling that my shoulder would dislocate again and it did I also told them that I had a 7in Plate in my arm because I had shattered my humorus you could easily see the scar going all the way up my arm After my shoulder dislocated I regretfully called TSA a few choice words and left the security checkpoint with my shoulder dislocated I had to go to the mens restroom to use the counter to reduce my shoulder They offered me apologies whatsoever The 3 other airports that I had been through had no problems with the sling being kept on during the security checkpoints When I shattered my arm the military made me turn over my prosthetics card showing that I truly have a metal plate This was back in 2002 LAX TSA is the worst TSA checkpoint that I have ever been through,mens,212,94,1,0.0047169811320754715,0.010638297872340425,1
What is wrong with LAX omg,,6,4,0,0,0.0,0
I didnt even know that was a wig,,8,3,0,0,0.0,0
Bad Black TSA Agent Female leaving keeping move back fat lady is wrong doing white woman unhappy needed be careful not good black TSA Agent Female warning,,27,22,0,0,0.0,0
Her hair was a wig Wow looks amazing ,,9,6,0,0,0.0,0
Thank you for using high vocabulary,,6,3,0,0,0.0,0
Yes People with difficulty crying on social media,,8,6,0,0,0.0,0
Also ask for permission first and dont do it in public,,11,4,0,0,0.0,0
Im 12 and even I know that this was not ok they overstep their boundaries and I feel so sorry for you,,22,7,0,0,0.0,0
I would asked for somebody else immediately Unacceptable,,8,3,0,0,0.0,0
WE ARE GOING TO USE AS MUCH PRESSURE AS WE NEED TO  are you kidding me  I would like to use as much pressure on his balls after surgery see how he likes it he should be fired for lacking sensitivity or intelligence The SOB,,47,26,0,0,0.0,0
Do we really need the TSA Maybe theyll go away now,,11,4,0,0,0.0,0
LAX is aggressive for everyone tbh,,6,3,0,0,0.0,0
You can have procedures and training but never forget the human factor and good ole Common Sense,,17,10,0,0,0.0,0
The TSA cant just believe and take care of every little snowflake lol,,13,6,0,0,0.0,0
I have had cancer Taking of my head cover would not be something I wouldve liked to do in public Nor to show of all of my scars in public I have not have had breast cancer but another type of cancer but I imagine breast cancer to is very painful pain from the cancer itself pain from the operation wounds and pain from the chemotherapy Having pressure put on tubes operated in her body must have been very painful for her,,82,34,0,0,0.0,0
They need to train security guards to know these type of things,,12,6,0,0,0.0,0
Tsa rules r vague and misleading and their purpose is personal discretion as to whether you are a security risk and must be physically violated,,25,11,0,0,0.0,0
Sorry this happened to you but fyi youre beautiful with or without the wig Prayers for your recovery,,18,7,0,0,0.0,0
I Feel sorry for this Transman its not right the way they treat trans these days,,16,6,0,0,0.0,0
*THANK YOU SO VERY MUCH* for airing this story I receive regular infusions and have a port My heart started racing and I got so scared when the TSA agent said she was going to touch it For those who dont know a port central venous catheter is a tube they surgically place mine is on my chest This is for people who have to have regular infusions Its like a permanent IV Our veins turn to crap after everything we go through so it becomes necessary The big issue is that *even in an inpatient hospital setting where only nurses touch it the rate of infection is up to 75* Then you take someone like me who already has a crap immune system you infect an artery in a moist enclosed tube that has direct access to your heart you can imagine *If my port got infected theres a decent chance Id die* God bless this amazing woman for taking one for the team and educating people I firmly believe this will save lives And thank you again CNN,"crap, crap",180,90,1,0.011111111111111112,0.022222222222222223,2
TSA is always on a power trip,,7,3,0,0,0.0,0
They need to change some of these TSA laws to prevent situations like this from happening,,16,7,0,0,0.0,0
I had something like this happen in the Atlanta Airport and I was on duty in my flight attendant uniform I couldnt believe it Some of these people get on a power high so they abuse their authority,,38,16,0,0,0.0,0
Ive only been flying once but my mother has something similar to this women like a machine but they didnt give her any trouble,,24,7,0,0,0.0,0
My bestie is a diabetic and whenever she travels she has to alert the TSA officers that she am a diabetic and that she has a pump But then theres the times where they think that if her pump goes through an Xray nothing will happen SOMETHING WILL HAPPEN It will stop working Uhh people these days And shes only 13,,61,26,0,0,0.0,0
If its anything like European rules then you can always ask to go to more privet place where they can do a visual check and any other additional check away from other passengers Also the average agent cant do that without informing his higher ups If you have a good reason to ask to be treated like that and the agent refuses to do so you can ask to speak with his supervisor If that person refuses again I believe that you have the right to ask with someone from even higher In any case at first they will try to do anything with the easiest and fastest way they are allowed to unless you tell them otherwise I believe that before traveling it will do anyone good to read the local and national laws about what their obligations and rights are so can ask for a better treatment,,149,47,0,0,0.0,0
She ps really protective of that area in the interview somebody standing a foot taller would see the whole way down,,21,8,0,0,0.0,0
Thank you for sharing this is very good to know and God bless you n heal you,,17,6,0,0,0.0,0
Oh how awful Prayerfully the TSA can retrain their agents as promised and no one else dealing with health issues will be humiliated this way ever again,,27,12,0,0,0.0,0
Being groped in the land of the free,,8,4,0,0,0.0,0
0020 wtf that dood in the window lookin at XD Fr though very unprofessional and rude,,16,9,0,0,0.0,0
This makes my blood boil What gives them the right to disrespect a person with a grievous illness And no regard for the sanctity of a medical condition where contamination is a real risk Do these fucktards ever question their privilege to use oxygen,,44,21,0,0,0.0,0
This lady is still gorgeous without her wig my got she looks like she has fingerwaves,,16,5,0,0,0.0,0
This is why we drive instead of flying so scary,,10,4,0,0,0.0,0
I used to love traveling but I am so sick of our crummy airports the fees and the sexual assaults they call searches,,23,12,0,0,0.0,0
Something doesnt feel right,,4,3,0,0,0.0,0
So I hear you saying less governmentyou know Israel is surrounded by people who hate them They have no travel restrictions and they keep safe by brace yourselfprofiling They do not arbitrarily grope people,,34,18,0,0,0.0,0
As a bother of someone with stage 4 lupus I believe these people need to be made example of and fired,,21,9,0,0,0.0,0
Tsa are just reg employees I worked with these ppl they aint all that important as it seems or looks they aint cops,,23,9,0,0,0.0,0
My heart goes out to her Im so sorry you went through that Im on your side,,17,5,0,0,0.0,0
fire all of them,,4,1,0,0,0.0,0
OH MY GOD EVERYONE WE GOTTA GIVE THEM BREAST CANCER sorry buT STiLl,,13,12,0,0,0.0,0
Thats crAzy is that had happened to my mom two years ago I would have been yelling,,17,8,0,0,0.0,0
Wowwonder what they would do when they see lumps on both sides of my spine all the way down to tailbonei have over 40 screws in my spine holding it in placehopefully they xray me first before jumping to conclusions,,40,13,0,0,0.0,0
Thank You Osama bin Laden,,5,5,0,0,0.0,0
Oh my God this is heartbreaking,,6,3,0,0,0.0,0
Cnn is the best 33 shill company Made a HQ on the 33 line and is masonic more than any others,,21,9,0,0,0.0,0
By law TSA is required to provide a female agent and a private screening room and a second agent be present,,21,12,0,0,0.0,0
The TSA is too aggressive They search me every single time I go through the TSA line they always touch my bare skin regardless of the fact that it is MY BARE SKIN In April of 2016 One TSA agent felt inside my bra and my underwear because the tie on my dress lit up on the screen The touched my entire body in ways that made me feel so violated I was in tears and shaking I was so scared that I couldnt say no I wrote about it to the TSA and Des Moines airport and nothing has happened I dont have a medical condition like this woman but I am a survivor of assault and being touched the way I was touched by TSA was incredibly stressful and violating for me,felt,134,65,1,0.007462686567164179,0.015384615384615385,1
Ugh America we need better our TSA and our OFFICERS,,10,5,0,0,0.0,0
her wig is beautiful,,4,2,0,0,0.0,0
The underworld of hell will be full of tsa staff,,10,7,0,0,0.0,0
Omfg That was just brutal Wtf That poor woman man,,10,8,0,0,0.0,0
Can we all agree if you hated either trump or clinton that no one likes the TSA Because if theres something that unites us together its not liking the TSA,trump,30,11,1,0.03333333333333333,0.09090909090909091,1
Touching your wig is not the same as a health hazard posed by touching the port good grief,,18,9,0,0,0.0,0
Those bishes think they are FBI seriously,,7,4,0,0,0.0,0
This is tough  I understand both perspectives They should of had a doctor or nurse to search her,,19,10,0,0,0.0,0
they will insist in following protocol or the next phase they would have to take you to a private curtained area and strip down,,24,8,0,0,0.0,0
wouldnt say aggressive but definitely insensitive,,6,3,0,0,0.0,0
Poor lady Its hard enough with her medical diagnosis Im sure God bless her I think she looks okay without her wig like a cute short cut,,27,14,0,0,0.0,0
i hope those officers were fired,,6,3,0,0,0.0,0
Well no need Thanks to trump we dont have an open Government,trump,12,6,1,0.08333333333333333,0.16666666666666666,1
The TSA is horrible at what they do My sickly mother who is in a wheelchair and has a breathing machine was checked by a TSA officer which is understandable because she couldnt go through the normal machine but what was horrible is lady asked if she had pain and she said yes my legs and back are very much in pain so please be gentle The lady then goes on to check those spots roughly and those two spots were the only places she checked twice in a very rough manner which made my mother cry because she has nerv damage and other things that makes the pain some times unbearable for her The man who was helping us get to the plane even looked annoyed at how rough the lady was being and how long she took She had to sit for 20 mins as the lady patted her down and touched the two spots she said really hurt twice and more forceful which I very much wanted to report her but if I went to do so we would of missed our flight and I didnt want to put my mother through another search not after such a horrible and unprofessional one I do feel dumb for not getting the ladies name so I could report her later but it took all I had to not snap at her for hurting my poor mother,,237,82,0,0,0.0,0
America smh,,2,2,0,0,0.0,0
That wig is really well made I couldnt tell,,9,4,0,0,0.0,0
I hope she is alright,,5,3,0,0,0.0,0
Cancer patients are not even suppose to go through the x ray machine smh,,14,6,0,0,0.0,0
Taking the wig off is to much they wouldnt do that to a black women,,15,4,0,0,0.0,0
Im so glad she stood up for herself and she knows the guidelines For someone like myself who doesnt travel I wouldnt have known the difference So thank you to Ms Alberts and prayers for her journey through Chemo,,39,15,0,0,0.0,0
Holy cow Theyre really feeling her everywhere So wrong,,9,6,0,0,0.0,0
She said dont touch her then dont touch her demn,,10,6,0,0,0.0,0
Bless that lady,,3,2,0,0,0.0,0
I thought that was her natural hair She is beautiful The people need to learn their boundries,,17,10,0,0,0.0,0
Again TSA goes Tol Far Poor woman Also No Compassion Im so happy that she stuck up for herself,,19,12,0,0,0.0,0
This is disgusting that woman didnt deserve that at all,,10,5,0,0,0.0,0
Screw everyone that thinks the TSA is saving lives and protecting civilians They were tested by other government agencies and failed miserably During the tests 98 of the test items made it past them A 2 success rate is not worth groping or harassing innocent people They treat children and the elderly like criminals Why do we need an agency that does nothing but employ questionable characters to molest people and has a track record of complete failure,test,78,43,1,0.01282051282051282,0.023255813953488372,1
How embarrassing Thats TSA for ya They need to hire more friendly front line staff,ya,15,10,1,0.06666666666666667,0.1,1
Tsa is the worst thing in the world all they are wanna be cops Have authoritie complexs and just plan rude,,21,10,0,0,0.0,0
Shame so sorry and I really cannot believe they said they are going to put pressure on it,,18,4,0,0,0.0,0
*TSA ARE AT IT AGAIN*,,5,5,0,0,0.0,0
When I was 12 This happened I fly a lot because Im a gymnast and do a lot of ads for gymnastics apparel Anyway the MALE put his hand inside my leggings My father charged him with battery to a child and indecent touching He was arrested from the Aiprort by my fathers deputies Yes I watched them put him in cuffs PS He wasnt smirking anymore,,67,38,0,0,0.0,0
Sadly the lay people at TSA are likely stressed And if the agents dont know and you realize it they need some consideration as well,,25,11,0,0,0.0,0
Did you sue I want an update,,7,4,0,0,0.0,0
This is disturbingTsa needs to do a better job and respect the person their dealing with like damnThis made me have anxiety I feel so bad,,26,12,0,0,0.0,0
At the end of the day its government employees feeling you up for almost no reason,day,16,6,1,0.0625,0.16666666666666666,1
I live in LA and when I go to the airport the workers there are very kind and happy to help This doesnt represent the city of LA,,28,14,0,0,0.0,0
Wow thats a realistic wig,,5,3,0,0,0.0,0
yo not all tsa officers are like that though yes this woman did the wrong thing but not all are like that my mother is so respectful when checking someone she is a tsa officer,,35,11,0,0,0.0,0
TSA The Sexually Aggressive,,4,4,0,0,0.0,0
all of these invasive procedures dont prevent anything,,8,4,0,0,0.0,0
Oh my goodness fire they asz dammit,,7,5,0,0,0.0,0
Im very sensitive about people touching me Id most likely get detained for my reaction so Im always concerned about flying because I pack a lot of stuff This was uncalled for on so many levels,pack,36,17,1,0.027777777777777776,0.058823529411764705,1
I will never fly Ever,,5,4,0,0,0.0,0
Was about to watch but I noticed it was a CNN video,,12,6,0,0,0.0,0
Omg what a nightmare Im autistic and in a wheelchair and TSA treated me exactly the same way They insist on touching you and when you allow them to touch you minimally they take advantage of their position and they touch you in places never discussed prior Nightmare I havent flown since last June bc of this Nightmare,,58,27,0,0,0.0,0
Why couldnt they use a Xray,,6,2,0,0,0.0,0
WOW They really need more training I got stopped for baby powder They wasted my time and their time instead of looking for things they need to be looking for,,30,12,0,0,0.0,0
I dont blame tsa Thats their job,,7,6,0,0,0.0,0
Congrats people you live in great Americalol,,7,5,0,0,0.0,0
This isnt going to stop Our government is evolving to be able to do whatever it wants All under the guise of protecting us of course,,26,10,0,0,0.0,0
Way to go Erica Hill maybe you should have asked these questions instead of siding solely with your female companion,,20,9,0,0,0.0,0
WAY over the line I watched my mom go through the trauma of losing her hair 2 mastectomies and all that goes with that process Stay strong and keep up the fight,,32,13,0,0,0.0,0
expect nothing less from Affirmative Action employees ,,8,5,0,0,0.0,0
I hope her treatment was a success and her hair grew back,,12,6,0,0,0.0,0
Now the terrorist have another way to bring explosives on the plane good job cnn,,15,8,0,0,0.0,0
Since TSA started nothing positive has ever come out of it TSA are another version of wanna be cops People should start walking into their underwear That would stop the pat down,,32,14,0,0,0.0,0
That black lady should be fired,,6,4,0,0,0.0,0
I feel for her she has gon through enough already she deserves privacy and respect,gon,15,6,1,0.06666666666666667,0.16666666666666666,1
They CANNOT touch your skin Id be suing for health violations Who knows if those idiots have ring worm flu herpes or who knows what but to do it to a cancer patient who still had open incisions and a CENTRAL VEINOUS PORT Im living with leukemia I HAVE TO FLY to get medical treatment as its not available in the caliber I need in Alaska but Im welldocumented by TSA I have never and will never allow my port my skin or my luggage to be handled with bare hands and in one cases gloved hands too,,98,48,0,0,0.0,0
Black woman with wigs are checked all the time this way,,11,5,0,0,0.0,0
I am not a native English speaker so what exactly is a port,,13,6,0,0,0.0,0
TSA didnt even really apologize they just made excuses They didnt give a damn,damn,14,7,1,0.07142857142857142,0.14285714285714285,1
Makes me never want to fly I would walk out before I let ANYONE do a cavity search those are MY cavities Mine,,23,11,0,0,0.0,0
When I came back from Brazil I had the nastiest plastic bag actually it was triple bagged of wetdirty clothes in my suitcase from being at the beach all day before we went to the airport I went swimming in what I now know is basically sewer water I got really sick when I got home coincidentally Anyway in that bag I had also thrown in a few pairs of socks that I had not had a chance to wash On a good day my dirty socks smell like death These were sweaty as hell I got pulled out of line for a search and they actually opened the nasty bag despite my warning I couldnt help but laugh when the female one actually started dryheaving when she caught a whiff She might have even puked because she ran out the door holding her hands over her mouth and nose I cant blame her it was really bad and she was the closest one to it I just told her partner to throw it all away right there because they ripped the bags when they opened them and I couldnt seal it back up but he had to dump everything out on the table and search it first Sometimes being a TSA agent really sucks,"day, day",215,88,1,0.009302325581395349,0.022727272727272728,2
She should have gotten some type of doctors letter to show TSA It would make things easier,,17,8,0,0,0.0,0
This is why I get anxiety around security guards,,9,5,0,0,0.0,0
Show me your warrent,,4,2,0,0,0.0,0
Its just their job but still at least understand what shes going through,,13,4,0,0,0.0,0
Cavity search Thats one thing I always forget,,8,6,0,0,0.0,0
I hope they got fired and never get a other job anywhere again,,13,4,0,0,0.0,0
Abolish TSA they selectively target whoever they feel like regardless of probable cause,,13,6,0,0,0.0,0
Need to make sure you arent carring anything illegal,,9,3,0,0,0.0,0
I pay a lot for my wigs too I dont blame you for that now,,15,7,0,0,0.0,0
Those sick minded people how can they be so disrespectful,,10,5,0,0,0.0,0
Those TSA seachers need to be fired,,7,4,0,0,0.0,0
Id chip in to launch TSA especially the Administration into the Sun Anyone else Is the plane going to blow up because a woman didnt want her privates fondled I made it onto a very long flight only to find that I had accidentally left a high quality and very sharp multitool in my pocket That was missed,,58,29,0,0,0.0,0
Im sorry but the discomfort of one woman doesnt outway the lives of hundreds or thousands 911 can never happen again and I feel bad for her but still,,29,13,0,0,0.0,0
Notice how the TSA says pat with the back of there hands and it shows the lady rubbing with the palm of her hand near her butt and upper leg area,,31,12,0,0,0.0,0
You look beautiful with your natural short hair Like the song from the sixties freedoms just an other word for something else to looseI never could have dreamedBless you and you are in my prayers,,35,13,0,0,0.0,0
Thank your own government for the gift that keeps on giving the patriot act have fun living in fear America,,20,8,0,0,0.0,0
lol you would think if they had a family member afflicted with cancer or any other kind where there is a port involved theyd know not to touch it,,29,9,0,0,0.0,0
TSA has never apprehended the any bad guys All they have managed in their careers is harrass law abiding citizenstourists,,20,11,0,0,0.0,0
Oh so TSA stranded for that,,6,3,0,0,0.0,0
I didnt want anyone touching my wig I paid a lot of money for it lol thats how a lot of black women that where wigs feel,,27,14,0,0,0.0,0
this was my friend Jarons mom,,6,3,0,0,0.0,0
TSA deeply regrets the distress this caused is just another way of saying Were sorry you feel that way,,19,7,0,0,0.0,0
TSA does not do cavity searches,,6,3,0,0,0.0,0
Her HAIR looks fine to me,,6,3,0,0,0.0,0
*LaND of tHe fReE*,,4,3,0,0,0.0,0
I have had some trouble with airport security before for my Tourettes Screaming bomb is not the best thing to do when going through airport security but apparently my Tourettes didnt get the memo,,34,15,0,0,0.0,0
When come down to she didnt wont take off her shoe and wig off wow,,15,5,0,0,0.0,0
Tsa the most Unrespectable Job in America,,7,4,0,0,0.0,0
Ive been stopped by security three times in my life First time I was wearing my binder and they thought I was wearing a vest Second time I had a box of Cards Against Humanity in my bag and they wanted to inspect it And third time I was looking down during screening and accidentally hid my neck so they had to check my collar But they were never aggressive or rough with me These people shouldnt be fired just retrained,,81,42,0,0,0.0,0
At least their apology seemed sincere,,6,3,0,0,0.0,0
Hey dont t o u c h me there that is my n0 n0 square ,,16,6,0,0,0.0,0
Omg poor lady they should just leave her alone,,9,4,0,0,0.0,0
TSA is a joke,,4,2,0,0,0.0,0
Poor woman You know what problems a infected port or line can cause I went through it myself its not fun,,21,8,0,0,0.0,0
Why not take here to a private room  how disgraceful,,11,5,0,0,0.0,0
Pretty weak apology from TSA what a joke,,8,5,0,0,0.0,0
So much for HYPA they are forcing people to give your medical history to complete strangers in front of strangers But hay as long as it prevents the health care system from being exploited thats all their worried about,,39,19,0,0,0.0,0
I wonder if they intentionally look for sociopaths when hiring TSA agents All the training in the world wouldnt help these two nitwits understand that you shouldnt violate someone I feel sorry for Americans who have to go through this when at an airport,,44,18,0,0,0.0,0
omg that made me so mad,,6,2,0,0,0.0,0
Omg im glad the lady was smart poor lady,,9,6,0,0,0.0,0
poor girl us ladies need to be treated better than this especially in this type of situation respect please people,,20,9,0,0,0.0,0
The TSA people dont know if shes lying or not thats what I think But I still dont know who to side with,,23,10,0,0,0.0,0
TSA has never caught a terrorist they do not need to touch anyone they have never once found a weapon that way in fact they failed to find over 100 planted test weapons,test,33,12,1,0.030303030303030304,0.08333333333333333,1
Nobody No ones gonna ask huhits gotta be me Ok What is a port,,14,8,0,0,0.0,0
I hope the tsa officer get touched in her area without her permission,,13,7,0,0,0.0,0
Hi Erica Hills Im Erica,,5,5,0,0,0.0,0
THIS is one of the MANY reasons I refuse to fly Im DONE with these people thinking they can just violate anybody because of their job title,,27,13,0,0,0.0,0
Good for her Im a young Cancer survivor Nobody will put their dirty hands on my port,,17,10,0,0,0.0,0
Researches what a port is,,5,2,0,0,0.0,0
The patriot act in action,,5,3,0,0,0.0,0
Bro its there job calm down,,6,3,0,0,0.0,0
The Tas is why I refuse to holiday in America as a survivor of abuse there is no way in hell a stranger will touch me again I dont even see doctors anymore,,33,15,0,0,0.0,0
Patriot Actcomplete jokea few idiots decide to try and blow up a plane using their shoes and underwear and forever good people are humiliated when travelingridiculous,,26,14,0,0,0.0,0
So they did there job not right but they also should have special priorities for medical conditions,,17,6,0,0,0.0,0
Then dont fly take a train drive,,7,5,0,0,0.0,0
